Num Hidden Layers,Hidden Activation,Number Decoder Layers,Hidden Size,Num Attention Heads,Projection Size,Intermediate Size,Relative Attention Buckets,Relative Attention Max Distance,Dropout Rate,Feed Forward Projection,Learning Rate,Batch Size,Model Size,Rouge Score,Index
9,gelu_new,6,174,3,28,289,8,36,0.2,gated-gelu,0.0001,8,33.313536,0.2023357866127043,58
11,silu,10,225,5,20,491,22,65,0.2,gated-gelu,5e-05,16,58.65928,0.1679098870626,59
6,silu,11,623,7,15,794,20,126,0.2,relu,0.001,8,176.691396,0.29441216691473493,60
12,relu,3,240,5,27,1809,29,93,0.3,gated-gelu,0.0001,8,92.28116,0.22732409500992054,61
4,silu,11,265,5,42,1130,12,58,0.1,relu,0.0001,8,93.15646,0.2912005575012104,62
9,relu,10,140,2,60,862,19,104,0.3,relu,0.0001,16,44.142864,0.16972739717317267,63
2,gelu_new,11,209,11,39,1411,26,110,0.1,relu,0.0001,16,91.969812,0.28315993048190685,64
5,silu,12,32,8,57,2633,30,77,0.2,relu,0.0001,16,22.346368,0.10545372778885888,65
7,relu,7,51,3,18,2560,24,91,0.1,gated-gelu,5e-05,16,22.104588,0.12378284450211463,66
7,silu,9,297,9,61,847,29,51,0.3,gated-gelu,5e-05,8,135.608724,0.2502414277470289,67
4,relu,5,200,8,58,1169,10,36,0.2,relu,0.0001,8,63.32144,0.25542509994505797,68
4,gelu_new,5,60,6,63,568,23,109,0.2,gated-gelu,0.001,8,15.245184,0.19212807473124646,69
3,gelu,3,456,12,46,2893,17,112,0.2,relu,5e-05,16,158.151552,0.2770634746328777,70
12,relu,1,432,4,21,26,31,80,0.3,relu,0.001,16,64.816544,0.10172768519703368,71
4,silu,6,118,2,11,1983,11,99,0.1,relu,0.001,16,34.548688,0.24451095588278293,72
6,gelu,1,264,11,37,1960,24,122,0.3,relu,0.0001,16,76.647648,0.20129119038692844,73
5,gelu,3,176,4,3,1523,26,72,0.1,relu,0.001,16,40.1408,0.24362602988990767,74
5,relu,12,429,11,25,2183,29,43,0.2,gated-gelu,5e-05,16,237.273872,0.2809473376089959,75
9,silu,12,345,5,57,2059,4,86,0.1,gated-gelu,0.0001,16,215.63068,0.2952325890233053,76
3,silu,5,756,4,33,2117,30,64,0.2,relu,5e-05,8,220.326576,0.2884307531612551,77
4,gelu_new,4,738,9,44,2221,27,123,0.3,gated-gelu,0.0001,16,255.839976,0.27126272023278974,78
7,relu,11,688,2,26,2861,11,43,0.2,gated-gelu,5e-05,8,388.51928,0.2678126277873614,79

