Num Hidden Layers,Hidden Activation,Number Decoder Layers,Hidden Size,Num Attention Heads,Projection Size,Intermediate Size,Relative Attention Buckets,Relative Attention Max Distance,Dropout Rate,Feed Forward Projection,Learning Rate,Batch Size,Model Size,Rouge Score,Index,evaluation_median_time,evaluation_median_cpu_energy,evaluation_median_gpu_energy,evaluation_time_q25,evaluation_time_q75,evaluation_cpu_q25,evaluation_cpu_q75,evaluation_gpu_q25,evaluation_gpu_q75
3,relu,4,654,6,27,2326,12,108,0.2,gated-gelu,0.001,8,187.860768,0.2392184298555682,35,311081.5,14807,46356,310181.25,311882.75,14756,14851,46225,46468
2,gelu_new,4,588,12,8,1772,17,48,0.2,gated-gelu,0.001,16,134.587776,0.2742665381018496,36,194652.5,9611,28071,194453.75,195254.0,9568,9652,27895,28153
3,silu,9,616,1,42,205,17,57,0.3,gated-gelu,0.0001,16,99.996648,0.2145084633110262,37,295378.0,13905,27812,294130.0,296828.25,13859,13986,27669,27915
11,gelu,5,530,10,17,2981,9,98,0.2,relu,0.001,8,300.64004,0.2835698343311053,38,469121.0,21763,97438,468721.0,469423.0,21713,21801,97187,97667
11,gelu_new,7,90,9,17,2802,7,39,0.2,gated-gelu,0.0001,16,53.394624,0.1906373377264536,39,314283.5,14815,50665,313232.5,316032.75,14734,14874,50429,50882
2,gelu,1,357,3,3,233,16,70,0.3,gated-gelu,5e-05,16,48.054012,0.1317931825252521,40,90425.0,5119,7835,90028.0,90826.0,5098,5130,7773,7853
3,gelu,6,722,2,48,674,27,63,0.1,gated-gelu,0.0001,8,144.452416,0.2782978279526449,41,385298.0,17984,38793,384602.0,387201.5,17899,18046,38633,38938
2,silu,10,186,6,62,772,25,56,0.1,gated-gelu,0.001,8,62.0508,0.2989282171302036,42,549239.5,25064,54018,546741.5,552842.25,24934,25192,53686,54198
6,relu,8,126,9,5,3014,19,69,0.2,gated-gelu,0.0001,16,60.728328,0.2093976074916487,43,305379.5,14403,37498,303880.0,306080.5,14324,14458,37290,37769
7,gelu_new,8,602,7,54,2039,21,117,0.2,relu,0.0001,8,308.432264,0.3060769508057928,44,526235.5,24198,92179,524532.5,528137.0,24133,24353,91964,92433
10,relu,7,440,4,10,2535,24,38,0.2,relu,5e-05,16,215.025248,0.2603933234239848,45,308881.0,14597,54571,308230.0,310381.5,14553,14660,54429,54802
3,relu,10,468,2,1,2725,14,71,0.2,gated-gelu,0.001,8,193.138208,0.2113952227238388,46,524935.0,23989,50126,523332.0,527735.0,23891,24070,49949,50277
2,relu,8,396,12,7,2256,9,125,0.2,relu,0.001,16,131.944896,0.2711827069094754,47,280474.0,13293,31069,279225.0,281125.0,13259,13348,30933,31196
6,gelu_new,9,375,3,6,1858,7,115,0.2,gated-gelu,5e-05,8,134.413668,0.2346480926036262,48,529037.0,24194,50809,527087.5,531185.0,24097,24241,50569,51023
8,silu,2,660,10,49,3062,5,46,0.3,gated-gelu,0.0001,8,308.57416,0.2660607826453897,49,327886.5,15638,86328,327435.5,328338.0,15598,15693,86182,86448
2,silu,7,520,10,60,1621,14,86,0.2,gated-gelu,0.0001,8,207.38752,0.2970145757764812,50,432613.0,20064,66549,430911.5,433763.75,20004,20135,66357,66798
2,gelu_new,8,720,8,63,1379,22,91,0.2,relu,0.001,16,276.475648,0.2902920450464577,51,306481.0,14508,59070,305779.5,307481.0,14456,14585,58907,59312
7,gelu,9,40,8,6,931,15,102,0.3,relu,0.0001,8,10.67856,0.1186353857708329,52,470422.5,21553,41178,469019.5,472171.25,21460,21623,41069,41328
11,silu,11,85,5,36,1035,21,118,0.2,relu,0.0001,16,34.49622,0.1860157824932249,53,403304.0,18693,50126,401705.0,405104.0,18584,18759,49503,50776
11,gelu_new,6,500,10,40,540,4,114,0.1,relu,5e-05,16,174.60432,0.2756788588606867,54,312082.0,14804,70433,311280.5,313182.5,14767,14835,70260,70550
7,relu,5,762,6,12,2278,15,81,0.2,gated-gelu,0.0001,16,279.499272,0.2871516086063197,55,267672.0,12837,55570,267171.5,268272.5,12766,12861,55446,55811
6,relu,2,160,4,52,656,28,89,0.1,relu,5e-05,8,32.599936,0.228312039177097,56,227260.0,11130,21826,226661.0,228661.0,11073,11207,21679,21905
10,silu,11,670,10,53,967,19,93,0.1,gated-gelu,0.001,16,376.83364,0.2923168319485333,57,464920.0,21582,115158,462922.0,466518.0,21488,21632,114881,115327
9,gelu_new,6,174,3,28,289,8,36,0.2,gated-gelu,0.0001,8,33.313536,0.2023357866127043,58,397501.0,18420,35319,394704.0,399704.0,18270,18504,35171,35500
11,silu,10,225,5,20,491,22,65,0.2,gated-gelu,5e-05,16,58.65928,0.2152821267906595,59,371692.0,17297,40853,371098.0,372797.5,17204,17314,40608,41093
6,silu,11,623,7,15,794,20,126,0.2,relu,0.001,8,176.691396,0.2944121669147349,60,638163.5,28970,66969,636762.25,642313.0,28843,29135,66641,67364
12,relu,3,240,5,27,1809,29,93,0.3,gated-gelu,0.0001,8,92.28116,0.2273240950099205,61,295276.0,14076,41560,294078.0,296876.0,14035,14130,41293,41807
4,silu,11,265,5,42,1130,12,58,0.1,relu,0.0001,8,93.15646,0.2912005575012104,62,594250.0,26986,56916,592299.5,596554.25,26905,27131,56607,57269
9,relu,10,140,2,60,862,19,104,0.3,relu,0.0001,16,44.142864,0.1697273971731726,63,344291.5,16071,34450,343039.5,344940.5,16001,16087,34200,34569
2,gelu_new,11,209,11,39,1411,26,110,0.1,relu,0.0001,16,91.969812,0.2831599304819068,64,354294.0,16560,54233,352893.0,356095.0,16496,16639,54064,54408
5,silu,12,32,8,57,2633,30,77,0.2,relu,0.0001,16,22.346368,0.1054537277888588,65,430813.5,19882,66612,430112.0,432112.25,19830,19955,66322,66907
7,relu,7,51,3,18,2560,24,91,0.1,gated-gelu,5e-05,16,22.104588,0.1237828445021146,66,284677.0,13409,26903,283873.0,285876.0,13364,13434,26848,26982
7,silu,9,297,9,61,847,29,51,0.3,gated-gelu,5e-05,8,135.608724,0.2502414277470289,67,552842.0,25376,85240,550843.5,554793.75,25251,25469,84874,85755
4,relu,5,200,8,58,1169,10,36,0.2,relu,0.0001,8,63.32144,0.2554250999450579,68,346890.0,16297,40045,345741.25,347640.75,16256,16343,39820,40167
4,gelu_new,5,60,6,63,568,23,109,0.2,gated-gelu,0.001,8,15.245184,0.1921280747312464,69,352491.0,16505,33995,351093.0,354293.0,16447,16591,33731,34199
3,gelu,3,456,12,46,2893,17,112,0.2,relu,5e-05,16,158.151552,0.2770634746328777,70,191053.0,9495,40379,190752.0,191653.0,9472,9521,40276,40542
12,relu,1,432,4,21,26,31,80,0.3,relu,0.001,16,64.816544,0.1017276851970336,71,137039.0,7160,21683,136640.0,137639.0,7123,7202,21573,21731
4,silu,6,118,2,11,1983,11,99,0.1,relu,0.001,16,34.548688,0.2445109558827829,72,224861.0,10839,19843,224060.75,226261.0,10790,10916,19625,20055
6,gelu,1,264,11,37,1960,24,122,0.3,relu,0.0001,16,76.647648,0.2012911903869284,73,153046.0,7866,32879,152842.0,153443.0,7826,7905,32712,33025
5,gelu,3,176,4,3,1523,26,72,0.1,relu,0.001,16,40.1408,0.2436260298899076,74,162246.0,8194,16282,161846.0,162844.0,8167,8227,16213,16348
5,relu,12,429,11,25,2183,29,43,0.2,gated-gelu,5e-05,16,237.273872,0.2809473376089959,75,420510.0,19539,72817,418659.5,422611.75,19363,19615,72565,72978
9,silu,12,345,5,57,2059,4,86,0.1,gated-gelu,0.0001,16,215.63068,0.2952325890233053,76,424410.5,19671,74408,422659.0,425660.0,19612,19744,74147,74685
3,silu,5,756,4,33,2117,30,64,0.2,relu,5e-05,8,220.326576,0.2884307531612551,77,357495.5,16783,49912,356645.0,358892.0,16736,16817,49765,50059
4,gelu_new,4,738,9,44,2221,27,123,0.3,gated-gelu,0.0001,16,255.839976,0.2712627202327897,78,234063.0,11373,52710,233362.5,234664.5,11348,11434,52480,52791
7,relu,11,688,2,26,2861,11,43,0.2,gated-gelu,5e-05,8,388.51928,0.2678126277873614,79,648964.0,29531,92061,647363.25,651464.25,29414,29633,91663,92349
