Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Learning Rate,Batch Size,Accuracy,Prediction Flips,evaluation_median_time,evaluation_median_cpu_energy,evaluation_median_gpu_energy,evaluation_time_q25,evaluation_time_q75,evaluation_cpu_q25,evaluation_cpu_q75,evaluation_gpu_q25,evaluation_gpu_q75
Word,43478,9,140,relu,0.5,789,2,0.5,347,relative_key,5e-05,8,0.772204955753083,332,38812.0,2120,11448,38811.0,39011.0,2109,2129,11406,11478
Unigram,11125,3,224,silu,0.2,1455,8,0.2,479,relative_key,0.001,8,0.3333333333333333,0,55016.5,2878,16197,55016.0,55215.25,2868,2902,16169,16227
WordPiece,12339,8,253,relu,0.2,1211,1,0.2,294,relative_key,0.0001,16,0.9632499793281134,161,41012.0,2167,12804,41012.0,41213.0,2159,2182,12793,12833
Unigram,23340,6,60,relu,0.5,36,6,0.5,356,relative_key_query,0.001,8,0.9007204581313226,233,50615.0,2696,12929,50614.0,50815.0,2683,2708,12902,12969
Unigram,26257,3,92,relu,0.3,1641,4,0.3,399,relative_key_query,0.0001,8,0.9449907034288794,119,34811.0,1992,8489,34811.0,35010.0,1987,1996,8479,8516
WordPiece,23592,11,32,relu,0.4,2978,8,0.4,486,relative_key,5e-05,16,0.8308423741863453,120,153839.0,7157,47785,153639.0,154038.0,7134,7177,47703,47829
BPE,35031,5,78,relu,0.4,1981,6,0.4,451,relative_key,0.0001,16,0.9089311291664322,77,62416.0,3147,17745,62218.0,62417.0,3141,3156,17725,17796
Word,1911,12,217,silu,0.4,1366,7,0.4,302,relative_key_query,0.001,16,0.3333333333333333,0,105227.5,5011,37355,105027.0,105427.0,4980,5024,37274,37426
WordPiece,39493,5,196,gelu,0.5,2256,4,0.5,287,relative_key_query,5e-05,16,0.8842447259003239,266,39411.0,2096,11993,39211.0,39611.0,2085,2104,11978,12005
Unigram,17707,4,238,silu,0.4,2832,7,0.4,443,relative_key,0.0001,16,0.9417499672343566,154,68818.0,3425,23252,68619.0,68819.0,3414,3436,23199,23297
Unigram,13621,5,176,gelu,0.4,865,11,0.4,333,absolute,5e-05,16,0.908999180992629,197,29609.0,1668,7264,29608.75,29610.0,1664,1673,7247,7284
Unigram,15540,1,30,silu,0.4,1020,6,0.4,325,relative_key_query,0.0001,16,0.8633770393354019,75,19708.5,1157,2745,19606.0,19856.75,1151,1166,2736,2758
WordPiece,42672,4,144,gelu,0.2,1050,3,0.2,320,relative_key,0.0001,8,0.9517458712561092,156,25808.5,1488,5787,25807.75,26008.0,1485,1494,5777,5805
WordPiece,33115,10,171,relu,0.3,249,9,0.3,259,absolute,0.0001,16,0.9162173195181944,187,51216.0,2613,14631,51215.0,51416.5,2608,2621,14604,14670
Word,21163,9,220,gelu,0.4,2539,10,0.4,281,relative_key_query,0.0001,8,0.9244916752071916,155,97826.5,4743,36199,97627.0,98026.0,4734,4752,36170,36253
BPE,16773,2,85,silu,0.3,2754,5,0.3,359,relative_key,0.001,16,0.96924995195305,83,26808.5,1540,5518,26808.0,27008.0,1535,1548,5503,5533
BPE,32488,6,18,gelu_new,0.5,2937,9,0.5,376,relative_key,5e-05,8,0.8297732153661717,110,114632.0,5515,31267,114630.5,114831.0,5504,5520,31207,31302
BPE,37926,7,120,silu,0.5,1704,10,0.5,416,relative_key_query,5e-05,8,0.902248234358733,249,125534.0,6013,40532,125433.0,125634.0,6000,6025,40481,40605
WordPiece,27479,10,104,silu,0.4,535,4,0.4,463,absolute,0.0001,8,0.9339999834999956,121,65718.5,3328,18768,65619.0,66018.0,3321,3338,18735,18790
